	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
23	PyBDEI					0.03411621484866294	0.02593930672926949	0.04710449630217678	0.4821621895283818	0.42025133025828293	0.5551340055835499	0.1361368779911569	0.10313236590769459	0.17757454175077825		3.5417456066511366			7.345548206746429			29.311575285708795		
23	BEAST2			1	0	0.03354159362275885			0.49088378765293306			0.1359300385801499				3.61129734663827	2.869742154866715	4.6628812990431445	7.3567256394940195	6.0777009802572595	9.000414329332697	29.8137295218279	22.751331012641447	40.821428320462545
24	PhyloDeep			1	0	0.2061338285046713			0.7386224116591988			0.18055376885247648				4.0908723	3.31580841415	4.72355028079	5.53851634532792	4.5807096747900005	6.6852620175	4.851217324464231	3.87489983076	6.069047080419999
24	PyBDEI					0.18934211063164105	0.14728711109827722	0.2436833381191799	0.8072269157598059	0.6781755253896438	0.9695518958719105	0.17845390573154596	0.1379476341022624	0.22827808715251593		4.523447735428912			5.603687943397175			5.281445298481263		
24	real	33.247075800000005		1.0	0.0	0.24134817264200906			0.6913692453613681			0.17418175049273787			0.7447356683104871	3.9692404250478197			5.741129579712731			4.14339163646081		
24	BEAST2			1	0	0.19642185825643402			0.7889231379783217			0.17889499227835196				4.40997888163798	3.643932194341505	4.958856299765348	5.58987139474563	4.7269307912370735	6.532501218286747	5.091083084523481	4.084805012049489	6.40706985949172
25	PhyloDeep			1	0	0.11355579292888758			0.20995171739934662			0.1832338892729559				1.1458127	1.0319298463700002	1.2754976167899998	5.457505726521701	4.50950734104	6.635239937000001	8.80624382259594	6.15178025742	12.1877753785
25	BEAST2			1	0	0.10694662111424404			0.2382237855696181			0.20507363980518398				1.16164996045287	1.0723414773168398	1.2624065514556295	4.876297124047639	4.1416411125452814	5.759844071080421	9.35045903817537	8.227259967550618	10.591348402758369
25	PyBDEI					0.1068108625907815	0.09013054680106818	0.12734088939031543	0.23944671156325506	0.19180763784163396	0.2826108346639419	0.20623505290755773	0.16558955342552878	0.23861177521203075		1.1610378943223778			4.848836247290307			9.362343639440908		
25	real	409.187554		1.0	0.0	0.12219550955630805			0.19999607051410215			0.17535788562123167			0.305363243821061	1.1405022922441497			5.70262350311393			8.183606775985472		
26	PhyloDeep			1	0	0.07990203217258111			0.47402087359144124			0.1927826781700968				2.4588354	2.10312938867	2.95403678712	5.187188026912231	4.30057640671	6.24677412847	12.5153262415165	9.98374477321	16.1307653651
26	PyBDEI					0.08165418212416248	0.06323031710262447	0.10090326658132685	0.4664861586726958	0.41984070673162405	0.5488753152349962	0.1958178665783187	0.159756426732638	0.24485074145492564		2.382245128210104			5.106786308490616			12.246770146805348		
26	real	185.81489599999995		1.0	0.0	0.08084575140384304			0.469349431171597			0.2023409901590217			0.25997681994349	2.3195963941993702			4.94215234992223			12.369233789476098		
26	BEAST2			1	0	0.08312828752812117			0.46056015676224465			0.19348965187009393				2.38028314336654	2.0768678256561377	2.7695628200460294	5.16823504686124	4.387868611545485	6.090928669681383	12.0295994268102	10.061385780747921	14.509394388979812
27	PyBDEI					0.11480514261358968	0.0673979871000695	0.16860886784775847	0.21956138350400453	0.1698595737022201	0.34086594041458096	0.11634743320801973	0.09205016491011134	0.1864008186181766		1.8871184129300616			8.594946810834077			8.710411199660216		
