	type	loglk	diff with max	diff with real
81	PhyloDeep	-2971.1213883479413	0.16053601348266966	2.253424177623856
81	real	-2973.374812525565	2.4139601911065256	0.0
82	PyBDEI	-1666.3816754202178	0.0	5.556965279842643
82	BEAST2	-1668.8541961848262	2.472520764608362	3.0844445152342814
82	PhyloDeep	-1668.870845860825	2.4891704406072677	3.0677948392353755
82	real	-1671.9386407000604	5.556965279842643	0.0
83	PyBDEI	-1440.9073719992457	0.0	5.884370917340675
83	BEAST2	-1440.9328771148391	0.025505115593432492	5.858865801747243
83	PhyloDeep	-1441.1770837699687	0.26971177072300634	5.614659146617669
83	real	-1446.7917429165864	5.884370917340675	0.0
84	PyBDEI	-1930.7376273347854	0.0	1.5256820877395967
84	BEAST2	-1930.7425071859643	0.004879851178884564	1.5208022365607121
84	PhyloDeep	-1932.0288106119774	1.2911832771919762	0.23449881054762045
84	real	-1932.263309422525	1.5256820877395967	0.0
85	PyBDEI	-1142.312551756323	0.0	2.4500383082061035
85	BEAST2	-1142.8581369113847	0.5455851550616444	1.904453153144459
85	PhyloDeep	-1143.301302440998	0.9887506846748693	1.4612876235312342
85	real	-1144.7625900645291	2.4500383082061035	0.0
86	PyBDEI	-2485.26609582984	0.0	0.2499740132147963
86	BEAST2	-2485.272670790351	0.006574960510988603	0.24339905270380768
86	PhyloDeep	-2485.5156927572752	0.24959692743505002	0.0003770857797462668
86	real	-2485.516069843055	0.2499740132147963	0.0
87	PyBDEI	-4012.6079771226987	0.0	0.6055394980176061
87	BEAST2	-4012.6888176861953	0.08084056349662205	0.524698934520984
87	PhyloDeep	-4012.802034295777	0.19405717307836312	0.41148232493924297
87	real	-4013.2135166207163	0.6055394980176061	0.0
88	PyBDEI	-1266.8637802477176	0.0	2.1143471293466973
88	BEAST2	-1267.1486568468429	0.28487659912525487	1.8294705302214425
88	PhyloDeep	-1267.4736986757016	0.6099184279839847	1.5044287013627127
88	real	-1268.9781273770643	2.1143471293466973	0.0
89	PyBDEI	-1913.8155018035227	0.0	2.6156017943624192
89	BEAST2	-1913.818689642182	0.0031878386594144104	2.612413955703005
89	PhyloDeep	-1914.2736252921309	0.4581234886081802	2.157478305754239
89	real	-1916.431103597885	2.6156017943624192	0.0
90	PyBDEI	-796.0145885079629	0.0	1.8473670367960722
90	BEAST2	-796.2323629666735	0.2177744587105508	1.6295925780855214
90	PhyloDeep	-796.6752234354587	0.6606349274958347	1.1867321093002374
90	real	-797.861955544759	1.8473670367960722	0.0
91	PyBDEI	-2338.4084237287143	0.0	0.2418238775021564
91	BEAST2	-2338.4182902295092	0.009866500794942112	0.23195737670721428
91	PhyloDeep	-2338.450055010453	0.041631281738773396	0.200192595763383
91	real	-2338.6502476062165	0.2418238775021564	0.0
92	PyBDEI	-3733.504093925365	0.0	0.42640815102458873
92	BEAST2	-3733.5181492823344	0.014055356969493005	0.41235279405509573
92	PhyloDeep	-3733.870341591725	0.36624766635986816	0.06016048466472057
92	real	-3733.9305020763895	0.42640815102458873	0.0
93	PyBDEI	-2130.851097850111	0.0	0.7830348237994258
93	BEAST2	-2130.865156164902	0.014058314791327575	0.7689765090080982
93	PhyloDeep	-2131.3226161269463	0.471518276835468	0.3115165469639578
93	real	-2131.6341326739102	0.7830348237994258	0.0
94	PyBDEI	-2007.0837043556398	0.0	4.768414764878344
94	BEAST2	-2007.0940748633386	0.010370507698780784	4.758044257179563
94	PhyloDeep	-2007.808002823911	0.7242984682711722	4.0441162966071715
94	real	-2011.8521191205182	4.768414764878344	0.0
95	PyBDEI	-3442.3047265833093	1.967976459127385e-06	2.712857347957197
95	BEAST2	-3442.304724615333	0.0	2.712859315933656
95	PhyloDeep	-3442.6158705474645	0.3111459321316943	2.4017133838019618
95	real	-3445.0175839312665	2.712859315933656	0.0
96	PyBDEI	-1657.0501367767813	0.0	0.3198579888912718
96	BEAST2	-1657.052894143445	0.0027573666636726557	0.31710062222759916
96	PhyloDeep	-1657.5925473902391	0.5424106134578324	-0.22255262456656055
96	real	-1657.3699947656726	0.3198579888912718	0.0
97	PyBDEI	-2711.9504888751253	0.0	1.2610091526548786
97	BEAST2	-2711.9594986344796	0.009009759354285052	1.2519993933005935
97	PhyloDeep	-2712.1429237055063	0.1924348303809893	1.0685743222738893
97	real	-2713.21149802778	1.2610091526548786	0.0
98	PyBDEI	-3982.1881668269048	0.0	5.388536894416575
98	BEAST2	-3982.3268466740237	0.13867984711896497	5.24985704729761
98	PhyloDeep	-3982.8616423688977	0.673475541992957	4.715061352423618
98	real	-3987.5767037213213	5.388536894416575	0.0
99	PyBDEI	-2775.600165253568	0.0	0.19323728155723074
99	BEAST2	-2775.6018958238633	0.001730570295421785	0.19150671126180896
99	PhyloDeep	-2775.895276493745	0.2951112401769933	-0.10187395861976256
99	real	-2775.793402535125	0.19323728155723074	0.0
