	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
11	PyBDEI (forest)	0.17920507083629733	0.529871207588338	0.1188226635738368		4.4593446372212835	8.415902908779659	5.580199239526506	0.012811059042848686	-0.0028156647715414204	0.021748401519733288		-0.024041208437164015	-0.02128547643175663	-0.012649011805771373
11	PyBDEI	0.18173359742525694	0.5197759134510188	0.11780560703303533		4.412149188325663	8.488560308675101	5.502559868773181	0.027101501162768184	-0.021814374324145347	0.013002798083791546		-0.034370262820396645	-0.012835895526041701	-0.026386390373382806
11	PhyloDeep	0.1817026846864763	0.5311153477243742	0.1251119056292564		4.245122357085873	7.992844445702042	5.5034960090186695	0.02692679202336589	-0.00047427117113992944	0.07582918731951038		-0.0709252541109848	-0.07048441166431174	-0.02622075130624624
12	PyBDEI (forest)	1.017948448796667	1.285250743839989	0.5630380070924933		2.282706900155772	1.7760790344580142	0.9823680179306876	0.009994363890953734	0.02698373304330828	0.016114706884640548		0.010696652735192984	-0.015859141468434652	-0.00989546501274627
12	PhyloDeep	1.0970617477360216	1.2365412120009414	0.5350122081280574		2.3112392450397508	1.8691162272705484	0.9115257204653016	0.08848948427944106	-0.011937774750103927	-0.03446345327724976		0.023329700572808816	0.03569357720764331	-0.08129567217456339
12	PyBDEI	1.0913058802295992	1.2374236682809299	0.5733887450515432		2.158088520153452	1.7440174901063112	0.9163333746443396	0.08277859219285079	-0.011232645226535304	0.03479468396400669		-0.04447967302482112	-0.03362472237557119	-0.07645015591341424
13	PyBDEI (forest)	0.055764762284845004	0.34555336975641243	0.10891688162970567		3.1726337055005	9.181313172367421	17.93247131391012	0.006368005933984186	-0.001190653976612231	0.03220324939054116		-0.03235206185106519	-0.031198554557501725	-0.006327711032580402
13	PyBDEI	0.0564518649970906	0.3443272268226136	0.10250751990466826		3.359043581805872	9.755381858130967	17.714206608613157	0.018767918675696976	-0.004734775171847973	-0.028538151759697174		0.0245026365481739	0.029376502856381482	-0.01842217283411679
13	PhyloDeep	0.05628579261253755	0.3487338657880648	0.10191748093720557		3.4217276818579356	9.811859465169967	17.766472738224387	0.015770865919878498	0.008002453194196204	-0.034129940014824056		0.04362118151759133	0.03533595400539481	-0.015526007339850954
14	PhyloDeep	0.1431854466612759	0.3331380998520018	0.1332219454257852		2.50062479411536	7.506270808491356	6.983949998533246	-0.1298507980961898	0.13562184502728408	0.0795699663308223		0.05192056137590352	-0.07370524265440608	0.14922819881014363
14	PyBDEI	0.16670803957463307	0.2893639290316326	0.12137891975585985		2.383971859476554	8.2386628749983	5.998510944952433	0.013097845970173452	-0.013598267153374621	-0.01640051948421032		0.0028489770341951414	0.01667398144172494	-0.01292851033320567
14	PyBDEI (forest)	0.15634844662587	0.2931566606634744	0.11716777790670298		2.502024583046252	8.534769694072963	6.395970165235632	-0.049858213787346874	-0.0006693680110700501	-0.05052569495570344		0.05250940091770809	0.05321438893846273	0.05247449855466942
15	PyBDEI	0.13726182791795444	1.187994286177708	0.30739715387772226		3.8646886322515313	3.2531205555591587	7.285346663150445	-0.012567322916550423	0.030647518959918997	0.027280024894775996		0.0032780682808349936	-0.026555587798536538	0.012727270636485344
